timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,e_demand,0,2030,e_tec,2020,all-year,all-week,night,2.21380000000
0,e_demand,0,2035,e_tec,2020,all-year,all-week,night,1.10690000000
0,e_demand,1,2030,e_tec,2020,all-year,all-week,night,0.56840000000
0,e_demand,1,2035,e_tec,2020,all-year,all-week,night,0.28420000000
0,e_demand,2,2030,e_tec,2020,all-year,all-week,night,3.48320000000
0,e_demand,2,2035,e_tec,2020,all-year,all-week,night,1.74160000000
0,e_demand,3,2030,e_tec,2020,all-year,all-week,night,13.55650000000
0,e_demand,3,2035,e_tec,2020,all-year,all-week,night,6.77830000000
0,e_demand,4,2030,e_tec,2020,all-year,all-week,night,4.46310000000
0,e_demand,4,2035,e_tec,2020,all-year,all-week,night,2.23160000000
0,e_demand,5,2030,e_tec,2020,all-year,all-week,night,12.50010000000
0,e_demand,5,2035,e_tec,2020,all-year,all-week,night,6.25000000000
0,e_demand,6,2030,e_tec,2020,all-year,all-week,night,5.76560000000
0,e_demand,6,2035,e_tec,2020,all-year,all-week,night,2.88280000000
0,e_demand,7,2030,e_tec,2020,all-year,all-week,night,1.80220000000
0,e_demand,7,2035,e_tec,2020,all-year,all-week,night,0.90110000000
0,e_demand,8,2030,e_tec,2020,all-year,all-week,night,11.83190000000
0,e_demand,8,2035,e_tec,2020,all-year,all-week,night,5.91600000000
0,e_demand,9,2030,e_tec2,2020,all-year,all-week,night,3.34800000000
0,e_demand,9,2035,e_tec2,2020,all-year,all-week,night,0.55350000000
0,e_demand,10,2030,e_tec2,2025,all-year,all-week,night,2.21590000000
0,e_demand,10,2035,e_tec2,2025,all-year,all-week,night,2.21590000000
0,e_demand,11,2035,e_tec2,2030,all-year,all-week,night,4.45700000000
0,e_demand,12,2030,e_tec2,2020,all-year,all-week,night,0.28420000000
0,e_demand,12,2035,e_tec2,2020,all-year,all-week,night,0.14210000000
0,e_demand,13,2030,e_tec2,2025,all-year,all-week,night,0.50850000000
0,e_demand,13,2035,e_tec2,2025,all-year,all-week,night,0.50850000000
0,e_demand,14,2035,e_tec2,2030,all-year,all-week,night,0.52350000000
0,e_demand,15,2030,e_tec2,2020,all-year,all-week,night,16.47390000000
0,e_demand,15,2035,e_tec2,2020,all-year,all-week,night,0.87080000000
0,e_demand,16,2030,e_tec2,2025,all-year,all-week,night,4.34850000000
0,e_demand,16,2035,e_tec2,2025,all-year,all-week,night,4.34850000000
0,e_demand,17,2035,e_tec2,2030,all-year,all-week,night,19.08080000000
0,e_demand,18,2030,e_tec2,2020,all-year,all-week,night,21.05380000000
0,e_demand,18,2035,e_tec2,2020,all-year,all-week,night,3.38910000000
0,e_demand,19,2030,e_tec2,2025,all-year,all-week,night,13.61180000000
0,e_demand,19,2035,e_tec2,2025,all-year,all-week,night,13.61180000000
0,e_demand,20,2035,e_tec2,2030,all-year,all-week,night,27.88740000000
0,e_demand,21,2030,e_tec2,2020,all-year,all-week,night,3.92560000000
0,e_demand,21,2035,e_tec2,2020,all-year,all-week,night,1.11580000000
0,e_demand,22,2030,e_tec2,2025,all-year,all-week,night,4.25010000000
0,e_demand,22,2035,e_tec2,2025,all-year,all-week,night,4.25010000000
0,e_demand,23,2035,e_tec2,2030,all-year,all-week,night,5.94420000000
0,e_demand,24,2030,e_tec2,2020,all-year,all-week,night,32.65260000000
0,e_demand,24,2035,e_tec2,2020,all-year,all-week,night,3.12500000000
0,e_demand,25,2030,e_tec2,2025,all-year,all-week,night,13.56950000000
0,e_demand,25,2035,e_tec2,2025,all-year,all-week,night,13.56950000000
0,e_demand,26,2035,e_tec2,2030,all-year,all-week,night,39.97210000000
0,e_demand,27,2030,e_tec2,2020,all-year,all-week,night,3.81300000000
0,e_demand,27,2035,e_tec2,2020,all-year,all-week,night,1.44140000000
0,e_demand,28,2030,e_tec2,2025,all-year,all-week,night,5.39360000000
0,e_demand,28,2035,e_tec2,2025,all-year,all-week,night,5.39360000000
0,e_demand,29,2035,e_tec2,2030,all-year,all-week,night,6.32390000000
0,e_demand,30,2030,e_tec2,2020,all-year,all-week,night,0.90110000000
0,e_demand,30,2035,e_tec2,2020,all-year,all-week,night,0.45050000000
0,e_demand,31,2035,e_tec2,2030,all-year,all-week,night,1.14840000000
0,e_demand,32,2030,e_tec2,2020,all-year,all-week,night,5.91600000000
0,e_demand,32,2035,e_tec2,2020,all-year,all-week,night,2.95800000000
0,e_demand,33,2030,e_tec2,2025,all-year,all-week,night,7.14100000000
0,e_demand,33,2035,e_tec2,2025,all-year,all-week,night,7.14100000000
0,e_demand,34,2035,e_tec2,2030,all-year,all-week,night,10.65170000000
1,e_demand,0,2030,e_tec,2020,all-year,all-week,morning,2.21380000000
1,e_demand,0,2035,e_tec,2020,all-year,all-week,morning,1.10690000000
1,e_demand,1,2030,e_tec,2020,all-year,all-week,morning,0.56840000000
1,e_demand,1,2035,e_tec,2020,all-year,all-week,morning,0.28420000000
1,e_demand,2,2030,e_tec,2020,all-year,all-week,morning,3.48320000000
1,e_demand,2,2035,e_tec,2020,all-year,all-week,morning,1.74160000000
1,e_demand,3,2030,e_tec,2020,all-year,all-week,morning,13.55650000000
1,e_demand,3,2035,e_tec,2020,all-year,all-week,morning,6.77830000000
1,e_demand,4,2030,e_tec,2020,all-year,all-week,morning,4.46310000000
1,e_demand,4,2035,e_tec,2020,all-year,all-week,morning,2.23160000000
1,e_demand,5,2030,e_tec,2020,all-year,all-week,morning,12.50010000000
1,e_demand,5,2035,e_tec,2020,all-year,all-week,morning,6.25000000000
1,e_demand,6,2030,e_tec,2020,all-year,all-week,morning,5.76560000000
1,e_demand,6,2035,e_tec,2020,all-year,all-week,morning,2.88280000000
1,e_demand,7,2030,e_tec,2020,all-year,all-week,morning,1.80220000000
1,e_demand,7,2035,e_tec,2020,all-year,all-week,morning,0.90110000000
1,e_demand,8,2030,e_tec,2020,all-year,all-week,morning,11.83190000000
1,e_demand,8,2035,e_tec,2020,all-year,all-week,morning,5.91600000000
1,e_demand,9,2030,e_tec2,2020,all-year,all-week,morning,3.34800000000
1,e_demand,9,2035,e_tec2,2020,all-year,all-week,morning,0.55350000000
1,e_demand,10,2030,e_tec2,2025,all-year,all-week,morning,2.21590000000
1,e_demand,10,2035,e_tec2,2025,all-year,all-week,morning,2.21590000000
1,e_demand,11,2035,e_tec2,2030,all-year,all-week,morning,4.45700000000
1,e_demand,12,2030,e_tec2,2020,all-year,all-week,morning,0.28420000000
1,e_demand,12,2035,e_tec2,2020,all-year,all-week,morning,0.14210000000
1,e_demand,13,2030,e_tec2,2025,all-year,all-week,morning,0.50850000000
1,e_demand,13,2035,e_tec2,2025,all-year,all-week,morning,0.50850000000
1,e_demand,14,2035,e_tec2,2030,all-year,all-week,morning,0.52350000000
1,e_demand,15,2030,e_tec2,2020,all-year,all-week,morning,16.47390000000
1,e_demand,15,2035,e_tec2,2020,all-year,all-week,morning,0.87080000000
1,e_demand,16,2030,e_tec2,2025,all-year,all-week,morning,4.34850000000
1,e_demand,16,2035,e_tec2,2025,all-year,all-week,morning,4.34850000000
1,e_demand,17,2035,e_tec2,2030,all-year,all-week,morning,19.08080000000
1,e_demand,18,2030,e_tec2,2020,all-year,all-week,morning,21.05380000000
1,e_demand,18,2035,e_tec2,2020,all-year,all-week,morning,3.38910000000
1,e_demand,19,2030,e_tec2,2025,all-year,all-week,morning,13.61180000000
1,e_demand,19,2035,e_tec2,2025,all-year,all-week,morning,13.61180000000
1,e_demand,20,2035,e_tec2,2030,all-year,all-week,morning,27.88740000000
1,e_demand,21,2030,e_tec2,2020,all-year,all-week,morning,3.92560000000
1,e_demand,21,2035,e_tec2,2020,all-year,all-week,morning,1.11580000000
1,e_demand,22,2030,e_tec2,2025,all-year,all-week,morning,4.25010000000
1,e_demand,22,2035,e_tec2,2025,all-year,all-week,morning,4.25010000000
1,e_demand,23,2035,e_tec2,2030,all-year,all-week,morning,5.94420000000
1,e_demand,24,2030,e_tec2,2020,all-year,all-week,morning,32.65260000000
1,e_demand,24,2035,e_tec2,2020,all-year,all-week,morning,3.12500000000
1,e_demand,25,2030,e_tec2,2025,all-year,all-week,morning,13.56950000000
1,e_demand,25,2035,e_tec2,2025,all-year,all-week,morning,13.56950000000
1,e_demand,26,2035,e_tec2,2030,all-year,all-week,morning,39.97210000000
1,e_demand,27,2030,e_tec2,2020,all-year,all-week,morning,3.81300000000
1,e_demand,27,2035,e_tec2,2020,all-year,all-week,morning,1.44140000000
1,e_demand,28,2030,e_tec2,2025,all-year,all-week,morning,5.39360000000
1,e_demand,28,2035,e_tec2,2025,all-year,all-week,morning,5.39360000000
1,e_demand,29,2035,e_tec2,2030,all-year,all-week,morning,6.32390000000
1,e_demand,30,2030,e_tec2,2020,all-year,all-week,morning,0.90110000000
1,e_demand,30,2035,e_tec2,2020,all-year,all-week,morning,0.45050000000
1,e_demand,31,2035,e_tec2,2030,all-year,all-week,morning,1.14840000000
1,e_demand,32,2030,e_tec2,2020,all-year,all-week,morning,5.91600000000
1,e_demand,32,2035,e_tec2,2020,all-year,all-week,morning,2.95800000000
1,e_demand,33,2030,e_tec2,2025,all-year,all-week,morning,7.14100000000
1,e_demand,33,2035,e_tec2,2025,all-year,all-week,morning,7.14100000000
1,e_demand,34,2035,e_tec2,2030,all-year,all-week,morning,10.65170000000
2,e_demand,0,2030,e_tec,2020,all-year,all-week,afternoon,2.21380000000
2,e_demand,0,2035,e_tec,2020,all-year,all-week,afternoon,1.10690000000
2,e_demand,1,2030,e_tec,2020,all-year,all-week,afternoon,0.56840000000
2,e_demand,1,2035,e_tec,2020,all-year,all-week,afternoon,0.28420000000
2,e_demand,2,2030,e_tec,2020,all-year,all-week,afternoon,3.48320000000
2,e_demand,2,2035,e_tec,2020,all-year,all-week,afternoon,1.74160000000
2,e_demand,3,2030,e_tec,2020,all-year,all-week,afternoon,13.55650000000
2,e_demand,3,2035,e_tec,2020,all-year,all-week,afternoon,6.77830000000
2,e_demand,4,2030,e_tec,2020,all-year,all-week,afternoon,4.46310000000
2,e_demand,4,2035,e_tec,2020,all-year,all-week,afternoon,2.23160000000
2,e_demand,5,2030,e_tec,2020,all-year,all-week,afternoon,12.50010000000
2,e_demand,5,2035,e_tec,2020,all-year,all-week,afternoon,6.25000000000
2,e_demand,6,2030,e_tec,2020,all-year,all-week,afternoon,5.76560000000
2,e_demand,6,2035,e_tec,2020,all-year,all-week,afternoon,2.88280000000
2,e_demand,7,2030,e_tec,2020,all-year,all-week,afternoon,1.80220000000
2,e_demand,7,2035,e_tec,2020,all-year,all-week,afternoon,0.90110000000
2,e_demand,8,2030,e_tec,2020,all-year,all-week,afternoon,11.83190000000
2,e_demand,8,2035,e_tec,2020,all-year,all-week,afternoon,5.91600000000
2,e_demand,9,2030,e_tec2,2020,all-year,all-week,afternoon,3.34800000000
2,e_demand,9,2035,e_tec2,2020,all-year,all-week,afternoon,0.55350000000
2,e_demand,10,2030,e_tec2,2025,all-year,all-week,afternoon,2.21590000000
2,e_demand,10,2035,e_tec2,2025,all-year,all-week,afternoon,2.21590000000
2,e_demand,11,2035,e_tec2,2030,all-year,all-week,afternoon,4.45700000000
2,e_demand,12,2030,e_tec2,2020,all-year,all-week,afternoon,0.28420000000
2,e_demand,12,2035,e_tec2,2020,all-year,all-week,afternoon,0.14210000000
2,e_demand,13,2030,e_tec2,2025,all-year,all-week,afternoon,0.50850000000
2,e_demand,13,2035,e_tec2,2025,all-year,all-week,afternoon,0.50850000000
2,e_demand,14,2035,e_tec2,2030,all-year,all-week,afternoon,0.52350000000
2,e_demand,15,2030,e_tec2,2020,all-year,all-week,afternoon,16.47390000000
2,e_demand,15,2035,e_tec2,2020,all-year,all-week,afternoon,0.87080000000
2,e_demand,16,2030,e_tec2,2025,all-year,all-week,afternoon,4.34850000000
2,e_demand,16,2035,e_tec2,2025,all-year,all-week,afternoon,4.34850000000
2,e_demand,17,2035,e_tec2,2030,all-year,all-week,afternoon,19.08080000000
2,e_demand,18,2030,e_tec2,2020,all-year,all-week,afternoon,21.05380000000
2,e_demand,18,2035,e_tec2,2020,all-year,all-week,afternoon,3.38910000000
2,e_demand,19,2030,e_tec2,2025,all-year,all-week,afternoon,13.61180000000
2,e_demand,19,2035,e_tec2,2025,all-year,all-week,afternoon,13.61180000000
2,e_demand,20,2035,e_tec2,2030,all-year,all-week,afternoon,27.88740000000
2,e_demand,21,2030,e_tec2,2020,all-year,all-week,afternoon,3.92560000000
2,e_demand,21,2035,e_tec2,2020,all-year,all-week,afternoon,1.11580000000
2,e_demand,22,2030,e_tec2,2025,all-year,all-week,afternoon,4.25010000000
2,e_demand,22,2035,e_tec2,2025,all-year,all-week,afternoon,4.25010000000
2,e_demand,23,2035,e_tec2,2030,all-year,all-week,afternoon,5.94420000000
2,e_demand,24,2030,e_tec2,2020,all-year,all-week,afternoon,32.65260000000
2,e_demand,24,2035,e_tec2,2020,all-year,all-week,afternoon,3.12500000000
2,e_demand,25,2030,e_tec2,2025,all-year,all-week,afternoon,13.56950000000
2,e_demand,25,2035,e_tec2,2025,all-year,all-week,afternoon,13.56950000000
2,e_demand,26,2035,e_tec2,2030,all-year,all-week,afternoon,39.97210000000
2,e_demand,27,2030,e_tec2,2020,all-year,all-week,afternoon,3.81300000000
2,e_demand,27,2035,e_tec2,2020,all-year,all-week,afternoon,1.44140000000
2,e_demand,28,2030,e_tec2,2025,all-year,all-week,afternoon,5.39360000000
2,e_demand,28,2035,e_tec2,2025,all-year,all-week,afternoon,5.39360000000
2,e_demand,29,2035,e_tec2,2030,all-year,all-week,afternoon,6.32390000000
2,e_demand,30,2030,e_tec2,2020,all-year,all-week,afternoon,0.90110000000
2,e_demand,30,2035,e_tec2,2020,all-year,all-week,afternoon,0.45050000000
2,e_demand,31,2035,e_tec2,2030,all-year,all-week,afternoon,1.14840000000
2,e_demand,32,2030,e_tec2,2020,all-year,all-week,afternoon,5.91600000000
2,e_demand,32,2035,e_tec2,2020,all-year,all-week,afternoon,2.95800000000
2,e_demand,33,2030,e_tec2,2025,all-year,all-week,afternoon,7.14100000000
2,e_demand,33,2035,e_tec2,2025,all-year,all-week,afternoon,7.14100000000
2,e_demand,34,2035,e_tec2,2030,all-year,all-week,afternoon,10.65170000000
3,e_demand,0,2030,e_tec,2020,all-year,all-week,early-peak,2.21380000000
