asset,year,technology,region,installed,capacity
0,2020,Proc_Diesel,BajaCalif,2020,200.00000000000
0,2025,Proc_Diesel,BajaCalif,2020,300000200.00000000000
0,2030,Proc_Diesel,BajaCalif,2020,300000150.00000000000
0,2035,Proc_Diesel,BajaCalif,2020,300000100.00000000000
0,2040,Proc_Diesel,BajaCalif,2020,300000050.00000000000
0,2045,Proc_Diesel,BajaCalif,2020,300000050.00000000000
0,2049,Proc_Diesel,BajaCalif,2020,300000050.00000000000
1,2020,Proc_Diesel,BajaCalifSouth,2020,200.00000000000
1,2025,Proc_Diesel,BajaCalifSouth,2020,300000200.00000000000
1,2030,Proc_Diesel,BajaCalifSouth,2020,300000150.00000000000
1,2035,Proc_Diesel,BajaCalifSouth,2020,300000100.00000000000
1,2040,Proc_Diesel,BajaCalifSouth,2020,300000050.00000000000
1,2045,Proc_Diesel,BajaCalifSouth,2020,300000050.00000000000
1,2049,Proc_Diesel,BajaCalifSouth,2020,300000050.00000000000
2,2020,Proc_Diesel,Central,2020,200.00000000000
2,2025,Proc_Diesel,Central,2020,300000200.00000000000
2,2030,Proc_Diesel,Central,2020,300000150.00000000000
2,2035,Proc_Diesel,Central,2020,300000100.00000000000
2,2040,Proc_Diesel,Central,2020,300000050.00000000000
2,2045,Proc_Diesel,Central,2020,300000050.00000000000
2,2049,Proc_Diesel,Central,2020,300000050.00000000000
3,2020,Proc_Diesel,Eastern,2020,200.00000000000
3,2025,Proc_Diesel,Eastern,2020,300000200.00000000000
3,2030,Proc_Diesel,Eastern,2020,300000150.00000000000
3,2035,Proc_Diesel,Eastern,2020,300000100.00000000000
3,2040,Proc_Diesel,Eastern,2020,300000050.00000000000
3,2045,Proc_Diesel,Eastern,2020,300000050.00000000000
3,2049,Proc_Diesel,Eastern,2020,300000050.00000000000
4,2020,Proc_Diesel,North,2020,200.00000000000
4,2025,Proc_Diesel,North,2020,300000200.00000000000
4,2030,Proc_Diesel,North,2020,300000150.00000000000
4,2035,Proc_Diesel,North,2020,300000100.00000000000
4,2040,Proc_Diesel,North,2020,300000050.00000000000
4,2045,Proc_Diesel,North,2020,300000050.00000000000
4,2049,Proc_Diesel,North,2020,300000050.00000000000
5,2020,Proc_Diesel,Northeast,2020,200.00000000000
5,2025,Proc_Diesel,Northeast,2020,300000200.00000000000
5,2030,Proc_Diesel,Northeast,2020,300000150.00000000000
5,2035,Proc_Diesel,Northeast,2020,300000100.00000000000
5,2040,Proc_Diesel,Northeast,2020,300000050.00000000000
5,2045,Proc_Diesel,Northeast,2020,300000050.00000000000
5,2049,Proc_Diesel,Northeast,2020,300000050.00000000000
6,2020,Proc_Diesel,Northwest,2020,200.00000000000
6,2025,Proc_Diesel,Northwest,2020,300000200.00000000000
6,2030,Proc_Diesel,Northwest,2020,300000150.00000000000
6,2035,Proc_Diesel,Northwest,2020,300000100.00000000000
6,2040,Proc_Diesel,Northwest,2020,300000050.00000000000
6,2045,Proc_Diesel,Northwest,2020,300000050.00000000000
6,2049,Proc_Diesel,Northwest,2020,300000050.00000000000
7,2020,Proc_Diesel,Peninsular,2020,200.00000000000
7,2025,Proc_Diesel,Peninsular,2020,300000200.00000000000
7,2030,Proc_Diesel,Peninsular,2020,300000150.00000000000
7,2035,Proc_Diesel,Peninsular,2020,300000100.00000000000
7,2040,Proc_Diesel,Peninsular,2020,300000050.00000000000
7,2045,Proc_Diesel,Peninsular,2020,300000050.00000000000
7,2049,Proc_Diesel,Peninsular,2020,300000050.00000000000
8,2020,Proc_Diesel,Western,2020,200.00000000000
8,2025,Proc_Diesel,Western,2020,300000200.00000000000
8,2030,Proc_Diesel,Western,2020,300000150.00000000000
8,2035,Proc_Diesel,Western,2020,300000100.00000000000
8,2040,Proc_Diesel,Western,2020,300000050.00000000000
8,2045,Proc_Diesel,Western,2020,300000050.00000000000
8,2049,Proc_Diesel,Western,2020,300000050.00000000000
9,2020,Proc_ethanol,BajaCalif,2020,200.00000000000
9,2025,Proc_ethanol,BajaCalif,2020,300000200.00000000000
9,2030,Proc_ethanol,BajaCalif,2020,300000150.00000000000
9,2035,Proc_ethanol,BajaCalif,2020,300000100.00000000000
9,2040,Proc_ethanol,BajaCalif,2020,300000050.00000000000
9,2045,Proc_ethanol,BajaCalif,2020,300000050.00000000000
9,2049,Proc_ethanol,BajaCalif,2020,300000050.00000000000
10,2020,Proc_ethanol,BajaCalifSouth,2020,200.00000000000
10,2025,Proc_ethanol,BajaCalifSouth,2020,300000200.00000000000
10,2030,Proc_ethanol,BajaCalifSouth,2020,300000150.00000000000
10,2035,Proc_ethanol,BajaCalifSouth,2020,300000100.00000000000
10,2040,Proc_ethanol,BajaCalifSouth,2020,300000050.00000000000
10,2045,Proc_ethanol,BajaCalifSouth,2020,300000050.00000000000
10,2049,Proc_ethanol,BajaCalifSouth,2020,300000050.00000000000
11,2020,Proc_ethanol,Central,2020,200.00000000000
11,2025,Proc_ethanol,Central,2020,300000200.00000000000
11,2030,Proc_ethanol,Central,2020,300000150.00000000000
11,2035,Proc_ethanol,Central,2020,300000100.00000000000
11,2040,Proc_ethanol,Central,2020,300000050.00000000000
11,2045,Proc_ethanol,Central,2020,300000050.00000000000
11,2049,Proc_ethanol,Central,2020,300000050.00000000000
12,2020,Proc_ethanol,Eastern,2020,200.00000000000
12,2025,Proc_ethanol,Eastern,2020,300000200.00000000000
12,2030,Proc_ethanol,Eastern,2020,300000150.00000000000
12,2035,Proc_ethanol,Eastern,2020,300000100.00000000000
12,2040,Proc_ethanol,Eastern,2020,300000050.00000000000
12,2045,Proc_ethanol,Eastern,2020,300000050.00000000000
12,2049,Proc_ethanol,Eastern,2020,300000050.00000000000
13,2020,Proc_ethanol,North,2020,200.00000000000
13,2025,Proc_ethanol,North,2020,300000200.00000000000
13,2030,Proc_ethanol,North,2020,300000150.00000000000
13,2035,Proc_ethanol,North,2020,300000100.00000000000
13,2040,Proc_ethanol,North,2020,300000050.00000000000
13,2045,Proc_ethanol,North,2020,300000050.00000000000
13,2049,Proc_ethanol,North,2020,300000050.00000000000
14,2020,Proc_ethanol,Northeast,2020,200.00000000000
14,2025,Proc_ethanol,Northeast,2020,300000200.00000000000
14,2030,Proc_ethanol,Northeast,2020,300000150.00000000000
14,2035,Proc_ethanol,Northeast,2020,300000100.00000000000
14,2040,Proc_ethanol,Northeast,2020,300000050.00000000000
14,2045,Proc_ethanol,Northeast,2020,300000050.00000000000
14,2049,Proc_ethanol,Northeast,2020,300000050.00000000000
15,2020,Proc_ethanol,Northwest,2020,200.00000000000
15,2025,Proc_ethanol,Northwest,2020,300000200.00000000000
15,2030,Proc_ethanol,Northwest,2020,300000150.00000000000
15,2035,Proc_ethanol,Northwest,2020,300000100.00000000000
15,2040,Proc_ethanol,Northwest,2020,300000050.00000000000
15,2045,Proc_ethanol,Northwest,2020,300000050.00000000000
15,2049,Proc_ethanol,Northwest,2020,300000050.00000000000
16,2020,Proc_ethanol,Peninsular,2020,200.00000000000
16,2025,Proc_ethanol,Peninsular,2020,300000200.00000000000
16,2030,Proc_ethanol,Peninsular,2020,300000150.00000000000
16,2035,Proc_ethanol,Peninsular,2020,300000100.00000000000
16,2040,Proc_ethanol,Peninsular,2020,300000050.00000000000
16,2045,Proc_ethanol,Peninsular,2020,300000050.00000000000
16,2049,Proc_ethanol,Peninsular,2020,300000050.00000000000
17,2020,Proc_ethanol,Western,2020,200.00000000000
17,2025,Proc_ethanol,Western,2020,300000200.00000000000
17,2030,Proc_ethanol,Western,2020,300000150.00000000000
17,2035,Proc_ethanol,Western,2020,300000100.00000000000
17,2040,Proc_ethanol,Western,2020,300000050.00000000000
17,2045,Proc_ethanol,Western,2020,300000050.00000000000
17,2049,Proc_ethanol,Western,2020,300000050.00000000000
18,2020,Proc_hydrogen,BajaCalif,2020,200.00000000000
18,2025,Proc_hydrogen,BajaCalif,2020,300000200.00000000000
18,2030,Proc_hydrogen,BajaCalif,2020,300000150.00000000000
18,2035,Proc_hydrogen,BajaCalif,2020,300000100.00000000000
18,2040,Proc_hydrogen,BajaCalif,2020,300000050.00000000000
18,2045,Proc_hydrogen,BajaCalif,2020,300000050.00000000000
18,2049,Proc_hydrogen,BajaCalif,2020,300000050.00000000000
19,2020,Proc_hydrogen,BajaCalifSouth,2020,200.00000000000
19,2025,Proc_hydrogen,BajaCalifSouth,2020,300000200.00000000000
19,2030,Proc_hydrogen,BajaCalifSouth,2020,300000150.00000000000
19,2035,Proc_hydrogen,BajaCalifSouth,2020,300000100.00000000000
19,2040,Proc_hydrogen,BajaCalifSouth,2020,300000050.00000000000
19,2045,Proc_hydrogen,BajaCalifSouth,2020,300000050.00000000000
19,2049,Proc_hydrogen,BajaCalifSouth,2020,300000050.00000000000
20,2020,Proc_hydrogen,Central,2020,200.00000000000
20,2025,Proc_hydrogen,Central,2020,300000200.00000000000
20,2030,Proc_hydrogen,Central,2020,300000150.00000000000
20,2035,Proc_hydrogen,Central,2020,300000100.00000000000
20,2040,Proc_hydrogen,Central,2020,300000050.00000000000
20,2045,Proc_hydrogen,Central,2020,300000050.00000000000
20,2049,Proc_hydrogen,Central,2020,300000050.00000000000
21,2020,Proc_hydrogen,Eastern,2020,200.00000000000
21,2025,Proc_hydrogen,Eastern,2020,300000200.00000000000
21,2030,Proc_hydrogen,Eastern,2020,300000150.00000000000
21,2035,Proc_hydrogen,Eastern,2020,300000100.00000000000
21,2040,Proc_hydrogen,Eastern,2020,300000050.00000000000
21,2045,Proc_hydrogen,Eastern,2020,300000050.00000000000
21,2049,Proc_hydrogen,Eastern,2020,300000050.00000000000
22,2020,Proc_hydrogen,North,2020,200.00000000000
22,2025,Proc_hydrogen,North,2020,300000200.00000000000
22,2030,Proc_hydrogen,North,2020,300000150.00000000000
22,2035,Proc_hydrogen,North,2020,300000100.00000000000
22,2040,Proc_hydrogen,North,2020,300000050.00000000000
22,2045,Proc_hydrogen,North,2020,300000050.00000000000
22,2049,Proc_hydrogen,North,2020,300000050.00000000000
23,2020,Proc_hydrogen,Northeast,2020,200.00000000000
23,2025,Proc_hydrogen,Northeast,2020,300000200.00000000000
23,2030,Proc_hydrogen,Northeast,2020,300000150.00000000000
23,2035,Proc_hydrogen,Northeast,2020,300000100.00000000000
23,2040,Proc_hydrogen,Northeast,2020,300000050.00000000000
23,2045,Proc_hydrogen,Northeast,2020,300000050.00000000000
23,2049,Proc_hydrogen,Northeast,2020,300000050.00000000000
24,2020,Proc_hydrogen,Northwest,2020,200.00000000000
24,2025,Proc_hydrogen,Northwest,2020,300000200.00000000000
24,2030,Proc_hydrogen,Northwest,2020,300000150.00000000000
24,2035,Proc_hydrogen,Northwest,2020,300000100.00000000000
24,2040,Proc_hydrogen,Northwest,2020,300000050.00000000000
24,2045,Proc_hydrogen,Northwest,2020,300000050.00000000000
24,2049,Proc_hydrogen,Northwest,2020,300000050.00000000000
25,2020,Proc_hydrogen,Peninsular,2020,200.00000000000
25,2025,Proc_hydrogen,Peninsular,2020,300000200.00000000000
25,2030,Proc_hydrogen,Peninsular,2020,300000150.00000000000
25,2035,Proc_hydrogen,Peninsular,2020,300000100.00000000000
25,2040,Proc_hydrogen,Peninsular,2020,300000050.00000000000
25,2045,Proc_hydrogen,Peninsular,2020,300000050.00000000000
25,2049,Proc_hydrogen,Peninsular,2020,300000050.00000000000
26,2020,Proc_hydrogen,Western,2020,200.00000000000
26,2025,Proc_hydrogen,Western,2020,300000200.00000000000
26,2030,Proc_hydrogen,Western,2020,300000150.00000000000
26,2035,Proc_hydrogen,Western,2020,300000100.00000000000
26,2040,Proc_hydrogen,Western,2020,300000050.00000000000
26,2045,Proc_hydrogen,Western,2020,300000050.00000000000
26,2049,Proc_hydrogen,Western,2020,300000050.00000000000
