ProcessName,RegionName,Time,Parameter,Unit,Central,Eastern,Western,Northwest,North,Northeast,BajaCalif,BajaCalifSouth,Peninsular
BIO,Central,2020,cap_par,MUSD/PJ,96.7212313,116.0654776,116.0654776,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252
BIO_CCS,Central,2020,cap_par,MUSD/PJ,155.6358597,186.7630316,186.7630316,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388
COAL,Central,2020,cap_par,MUSD/PJ,45.76448902,54.91738682,54.91738682,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561
COAL_CCS,Central,2020,cap_par,MUSD/PJ,91.528978,109.8347736,109.8347736,366.115912,366.115912,366.115912,366.115912,366.115912,366.115912
GAS_GT,Central,2020,cap_par,MUSD/PJ,17.61349516,21.13619419,21.13619419,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064
GAS_CC,Central,2020,cap_par,MUSD/PJ,24.16946163,29.00335396,29.00335396,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652
GAS_CC_CCS,Central,2020,cap_par,MUSD/PJ,39.87961169,47.85553403,47.85553403,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468
OIL,Central,2020,cap_par,MUSD/PJ,44.0337379,52.84048548,52.84048548,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516
GEOTH,Central,2020,cap_par,MUSD/PJ,261.2740281,313.5288337,313.5288337,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112
HYD,Central,2020,cap_par,MUSD/PJ,50.09136676,60.10964011,60.10964011,200.365467,200.365467,200.365467,200.365467,200.365467,200.365467
WIND_ON,Central,2020,cap_par,MUSD/PJ,51.09268512,61.31122214,61.31122214,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405
WIND_OFF,Central,2020,cap_par,MUSD/PJ,132.1765251,158.6118301,158.6118301,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004
PV_GND,Central,2020,cap_par,MUSD/PJ,63.65439379,76.38527255,76.38527255,254.6175752,254.6175752,254.6175752,254.6175752,254.6175752,254.6175752
PV_RFT,Central,2020,cap_par,MUSD/PJ,131.5524138,157.8628966,157.8628966,526.2096552,526.2096552,526.2096552,526.2096552,526.2096552,526.2096552
NUCL,Central,2020,cap_par,MUSD/PJ,157.68,189.216,189.216,630.72,630.72,630.72,630.72,630.72,630.72
BIO,Eastern,2020,cap_par,MUSD/PJ,116.0654776,96.7212313,116.0654776,464.2619102,464.2619102,464.2619102,464.2619102,464.2619102,464.2619102
BIO_CCS,Eastern,2020,cap_par,MUSD/PJ,186.7630316,155.6358597,186.7630316,747.0521266,747.0521266,747.0521266,747.0521266,747.0521266,747.0521266
COAL,Eastern,2020,cap_par,MUSD/PJ,54.91738682,45.76448902,54.91738682,219.6695473,219.6695473,219.6695473,219.6695473,219.6695473,219.6695473
COAL_CCS,Eastern,2020,cap_par,MUSD/PJ,109.8347736,91.528978,109.8347736,439.3390944,439.3390944,439.3390944,439.3390944,439.3390944,439.3390944
GAS_GT,Eastern,2020,cap_par,MUSD/PJ,21.13619419,17.61349516,21.13619419,84.54477677,84.54477677,84.54477677,84.54477677,84.54477677,84.54477677
GAS_CC,Eastern,2020,cap_par,MUSD/PJ,29.00335396,24.16946163,29.00335396,116.0134158,116.0134158,116.0134158,116.0134158,116.0134158,116.0134158
GAS_CC_CCS,Eastern,2020,cap_par,MUSD/PJ,47.85553403,39.87961169,47.85553403,191.4221361,191.4221361,191.4221361,191.4221361,191.4221361,191.4221361
OIL,Eastern,2020,cap_par,MUSD/PJ,52.84048548,44.0337379,52.84048548,211.3619419,211.3619419,211.3619419,211.3619419,211.3619419,211.3619419
GEOTH,Eastern,2020,cap_par,MUSD/PJ,313.5288337,261.2740281,313.5288337,1254.115335,1254.115335,1254.115335,1254.115335,1254.115335,1254.115335
HYD,Eastern,2020,cap_par,MUSD/PJ,60.10964011,50.09136676,60.10964011,240.4385604,240.4385604,240.4385604,240.4385604,240.4385604,240.4385604
WIND_ON,Eastern,2020,cap_par,MUSD/PJ,61.31122214,51.09268512,61.31122214,245.2448886,245.2448886,245.2448886,245.2448886,245.2448886,245.2448886
WIND_OFF,Eastern,2020,cap_par,MUSD/PJ,158.6118301,132.1765251,158.6118301,634.4473205,634.4473205,634.4473205,634.4473205,634.4473205,634.4473205
PV_GND,Eastern,2020,cap_par,MUSD/PJ,76.38527255,63.65439379,76.38527255,305.5410902,305.5410902,305.5410902,305.5410902,305.5410902,305.5410902
PV_RFT,Eastern,2020,cap_par,MUSD/PJ,157.8628966,131.5524138,157.8628966,631.4515862,631.4515862,631.4515862,631.4515862,631.4515862,631.4515862
NUCL,Eastern,2020,cap_par,MUSD/PJ,189.216,157.68,189.216,756.864,756.864,756.864,756.864,756.864,756.864
BIO,Western,2020,cap_par,MUSD/PJ,116.0654776,116.0654776,96.7212313,116.0654776,116.0654776,116.0654776,386.8849252,386.8849252,386.8849252
BIO_CCS,Western,2020,cap_par,MUSD/PJ,186.7630316,186.7630316,155.6358597,186.7630316,186.7630316,186.7630316,622.5434388,622.5434388,622.5434388
COAL,Western,2020,cap_par,MUSD/PJ,54.91738682,54.91738682,45.76448902,54.91738682,54.91738682,54.91738682,183.0579561,183.0579561,183.0579561
COAL_CCS,Western,2020,cap_par,MUSD/PJ,109.8347736,109.8347736,91.528978,109.8347736,109.8347736,109.8347736,366.115912,366.115912,366.115912
GAS_GT,Western,2020,cap_par,MUSD/PJ,21.13619419,21.13619419,17.61349516,21.13619419,21.13619419,21.13619419,70.45398064,70.45398064,70.45398064
GAS_CC,Western,2020,cap_par,MUSD/PJ,29.00335396,29.00335396,24.16946163,29.00335396,29.00335396,29.00335396,96.67784652,96.67784652,96.67784652
GAS_CC_CCS,Western,2020,cap_par,MUSD/PJ,47.85553403,47.85553403,39.87961169,47.85553403,47.85553403,47.85553403,159.5184468,159.5184468,159.5184468
OIL,Western,2020,cap_par,MUSD/PJ,52.84048548,52.84048548,44.0337379,52.84048548,52.84048548,52.84048548,176.1349516,176.1349516,176.1349516
GEOTH,Western,2020,cap_par,MUSD/PJ,313.5288337,313.5288337,261.2740281,313.5288337,313.5288337,313.5288337,1045.096112,1045.096112,1045.096112
HYD,Western,2020,cap_par,MUSD/PJ,60.10964011,60.10964011,50.09136676,60.10964011,60.10964011,60.10964011,200.365467,200.365467,200.365467
WIND_ON,Western,2020,cap_par,MUSD/PJ,61.31122214,61.31122214,51.09268512,61.31122214,61.31122214,61.31122214,204.3707405,204.3707405,204.3707405
WIND_OFF,Western,2020,cap_par,MUSD/PJ,158.6118301,158.6118301,132.1765251,158.6118301,158.6118301,158.6118301,528.7061004,528.7061004,528.7061004
PV_GND,Western,2020,cap_par,MUSD/PJ,76.38527255,76.38527255,63.65439379,76.38527255,76.38527255,76.38527255,254.6175752,254.6175752,254.6175752
PV_RFT,Western,2020,cap_par,MUSD/PJ,157.8628966,157.8628966,131.5524138,157.8628966,157.8628966,157.8628966,526.2096552,526.2096552,526.2096552
NUCL,Western,2020,cap_par,MUSD/PJ,189.216,189.216,157.68,189.216,189.216,189.216,630.72,630.72,630.72
BIO,Northwest,2020,cap_par,MUSD/PJ,386.8849252,386.8849252,116.0654776,96.7212313,116.0654776,193.4424626,386.8849252,386.8849252,386.8849252
BIO_CCS,Northwest,2020,cap_par,MUSD/PJ,622.5434388,622.5434388,186.7630316,155.6358597,186.7630316,311.2717194,622.5434388,622.5434388,622.5434388
COAL,Northwest,2020,cap_par,MUSD/PJ,183.0579561,183.0579561,54.91738682,45.76448902,54.91738682,91.52897804,183.0579561,183.0579561,183.0579561
COAL_CCS,Northwest,2020,cap_par,MUSD/PJ,366.115912,366.115912,109.8347736,91.528978,109.8347736,183.057956,366.115912,366.115912,366.115912
GAS_GT,Northwest,2020,cap_par,MUSD/PJ,70.45398064,70.45398064,21.13619419,17.61349516,21.13619419,35.22699032,70.45398064,70.45398064,70.45398064
GAS_CC,Northwest,2020,cap_par,MUSD/PJ,96.67784652,96.67784652,29.00335396,24.16946163,29.00335396,48.33892326,96.67784652,96.67784652,96.67784652
GAS_CC_CCS,Northwest,2020,cap_par,MUSD/PJ,159.5184468,159.5184468,47.85553403,39.87961169,47.85553403,79.75922338,159.5184468,159.5184468,159.5184468
OIL,Northwest,2020,cap_par,MUSD/PJ,176.1349516,176.1349516,52.84048548,44.0337379,52.84048548,88.0674758,176.1349516,176.1349516,176.1349516
GEOTH,Northwest,2020,cap_par,MUSD/PJ,1045.096112,1045.096112,313.5288337,261.2740281,313.5288337,522.5480562,1045.096112,1045.096112,1045.096112
HYD,Northwest,2020,cap_par,MUSD/PJ,200.365467,200.365467,60.10964011,50.09136676,60.10964011,100.1827335,200.365467,200.365467,200.365467
WIND_ON,Northwest,2020,cap_par,MUSD/PJ,204.3707405,204.3707405,61.31122214,51.09268512,61.31122214,102.1853702,204.3707405,204.3707405,204.3707405
WIND_OFF,Northwest,2020,cap_par,MUSD/PJ,528.7061004,528.7061004,158.6118301,132.1765251,158.6118301,264.3530502,528.7061004,528.7061004,528.7061004
PV_GND,Northwest,2020,cap_par,MUSD/PJ,254.6175752,254.6175752,76.38527255,63.65439379,76.38527255,127.3087876,254.6175752,254.6175752,254.6175752
PV_RFT,Northwest,2020,cap_par,MUSD/PJ,526.2096552,526.2096552,157.8628966,131.5524138,157.8628966,263.1048276,526.2096552,526.2096552,526.2096552
NUCL,Northwest,2020,cap_par,MUSD/PJ,630.72,630.72,189.216,157.68,189.216,315.36,630.72,630.72,630.72
BIO,North,2020,cap_par,MUSD/PJ,386.8849252,386.8849252,116.0654776,116.0654776,96.7212313,116.0654776,386.8849252,386.8849252,386.8849252
BIO_CCS,North,2020,cap_par,MUSD/PJ,622.5434388,622.5434388,186.7630316,186.7630316,155.6358597,186.7630316,622.5434388,622.5434388,622.5434388
COAL,North,2020,cap_par,MUSD/PJ,183.0579561,183.0579561,54.91738682,54.91738682,45.76448902,54.91738682,183.0579561,183.0579561,183.0579561
COAL_CCS,North,2020,cap_par,MUSD/PJ,366.115912,366.115912,109.8347736,109.8347736,91.528978,109.8347736,366.115912,366.115912,366.115912
GAS_GT,North,2020,cap_par,MUSD/PJ,70.45398064,70.45398064,21.13619419,21.13619419,17.61349516,21.13619419,70.45398064,70.45398064,70.45398064
GAS_CC,North,2020,cap_par,MUSD/PJ,96.67784652,96.67784652,29.00335396,29.00335396,24.16946163,29.00335396,96.67784652,96.67784652,96.67784652
GAS_CC_CCS,North,2020,cap_par,MUSD/PJ,159.5184468,159.5184468,47.85553403,47.85553403,39.87961169,47.85553403,159.5184468,159.5184468,159.5184468
OIL,North,2020,cap_par,MUSD/PJ,176.1349516,176.1349516,52.84048548,52.84048548,44.0337379,52.84048548,176.1349516,176.1349516,176.1349516
GEOTH,North,2020,cap_par,MUSD/PJ,1045.096112,1045.096112,313.5288337,313.5288337,261.2740281,313.5288337,1045.096112,1045.096112,1045.096112
HYD,North,2020,cap_par,MUSD/PJ,200.365467,200.365467,60.10964011,60.10964011,50.09136676,60.10964011,200.365467,200.365467,200.365467
WIND_ON,North,2020,cap_par,MUSD/PJ,204.3707405,204.3707405,61.31122214,61.31122214,51.09268512,61.31122214,204.3707405,204.3707405,204.3707405
WIND_OFF,North,2020,cap_par,MUSD/PJ,528.7061004,528.7061004,158.6118301,158.6118301,132.1765251,158.6118301,528.7061004,528.7061004,528.7061004
PV_GND,North,2020,cap_par,MUSD/PJ,254.6175752,254.6175752,76.38527255,76.38527255,63.65439379,76.38527255,254.6175752,254.6175752,254.6175752
PV_RFT,North,2020,cap_par,MUSD/PJ,526.2096552,526.2096552,157.8628966,157.8628966,131.5524138,157.8628966,526.2096552,526.2096552,526.2096552
NUCL,North,2020,cap_par,MUSD/PJ,630.72,630.72,189.216,189.216,157.68,189.216,630.72,630.72,630.72
BIO,Northeast,2020,cap_par,MUSD/PJ,193.4424626,193.4424626,193.4424626,116.0654776,116.0654776,96.7212313,193.4424626,193.4424626,193.4424626
BIO_CCS,Northeast,2020,cap_par,MUSD/PJ,311.2717194,311.2717194,311.2717194,186.7630316,186.7630316,155.6358597,311.2717194,311.2717194,311.2717194
COAL,Northeast,2020,cap_par,MUSD/PJ,91.52897804,91.52897804,91.52897804,54.91738682,54.91738682,45.76448902,91.52897804,91.52897804,91.52897804
COAL_CCS,Northeast,2020,cap_par,MUSD/PJ,183.057956,183.057956,183.057956,109.8347736,109.8347736,91.528978,183.057956,183.057956,183.057956
GAS_GT,Northeast,2020,cap_par,MUSD/PJ,35.22699032,35.22699032,35.22699032,21.13619419,21.13619419,17.61349516,35.22699032,35.22699032,35.22699032
GAS_CC,Northeast,2020,cap_par,MUSD/PJ,48.33892326,48.33892326,48.33892326,29.00335396,29.00335396,24.16946163,48.33892326,48.33892326,48.33892326
GAS_CC_CCS,Northeast,2020,cap_par,MUSD/PJ,79.75922338,79.75922338,79.75922338,47.85553403,47.85553403,39.87961169,79.75922338,79.75922338,79.75922338
OIL,Northeast,2020,cap_par,MUSD/PJ,88.0674758,88.0674758,88.0674758,52.84048548,52.84048548,44.0337379,88.0674758,88.0674758,88.0674758
GEOTH,Northeast,2020,cap_par,MUSD/PJ,522.5480562,522.5480562,522.5480562,313.5288337,313.5288337,261.2740281,522.5480562,522.5480562,522.5480562
HYD,Northeast,2020,cap_par,MUSD/PJ,100.1827335,100.1827335,100.1827335,60.10964011,60.10964011,50.09136676,100.1827335,100.1827335,100.1827335
WIND_ON,Northeast,2020,cap_par,MUSD/PJ,102.1853702,102.1853702,102.1853702,61.31122214,61.31122214,51.09268512,102.1853702,102.1853702,102.1853702
WIND_OFF,Northeast,2020,cap_par,MUSD/PJ,264.3530502,264.3530502,264.3530502,158.6118301,158.6118301,132.1765251,264.3530502,264.3530502,264.3530502
PV_GND,Northeast,2020,cap_par,MUSD/PJ,127.3087876,127.3087876,127.3087876,76.38527255,76.38527255,63.65439379,127.3087876,127.3087876,127.3087876
PV_RFT,Northeast,2020,cap_par,MUSD/PJ,263.1048276,263.1048276,263.1048276,157.8628966,157.8628966,131.5524138,263.1048276,263.1048276,263.1048276
NUCL,Northeast,2020,cap_par,MUSD/PJ,315.36,315.36,315.36,189.216,189.216,157.68,315.36,315.36,315.36
BIO,BajaCalif,2020,cap_par,MUSD/PJ,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252,96.7212313,386.8849252,386.8849252
BIO_CCS,BajaCalif,2020,cap_par,MUSD/PJ,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388,155.6358597,622.5434388,622.5434388
COAL,BajaCalif,2020,cap_par,MUSD/PJ,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561,45.76448902,183.0579561,183.0579561
COAL_CCS,BajaCalif,2020,cap_par,MUSD/PJ,366.115912,366.115912,366.115912,366.115912,366.115912,366.115912,91.528978,366.115912,366.115912
GAS_GT,BajaCalif,2020,cap_par,MUSD/PJ,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064,17.61349516,70.45398064,70.45398064
GAS_CC,BajaCalif,2020,cap_par,MUSD/PJ,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652,24.16946163,96.67784652,96.67784652
GAS_CC_CCS,BajaCalif,2020,cap_par,MUSD/PJ,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468,39.87961169,159.5184468,159.5184468
OIL,BajaCalif,2020,cap_par,MUSD/PJ,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516,44.0337379,176.1349516,176.1349516
GEOTH,BajaCalif,2020,cap_par,MUSD/PJ,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112,261.2740281,1045.096112,1045.096112
HYD,BajaCalif,2020,cap_par,MUSD/PJ,200.365467,200.365467,200.365467,200.365467,200.365467,200.365467,50.09136676,200.365467,200.365467
WIND_ON,BajaCalif,2020,cap_par,MUSD/PJ,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405,51.09268512,204.3707405,204.3707405
WIND_OFF,BajaCalif,2020,cap_par,MUSD/PJ,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004,132.1765251,528.7061004,528.7061004
PV_GND,BajaCalif,2020,cap_par,MUSD/PJ,254.6175752,254.6175752,254.6175752,254.6175752,254.6175752,254.6175752,63.65439379,254.6175752,254.6175752
PV_RFT,BajaCalif,2020,cap_par,MUSD/PJ,526.2096552,526.2096552,526.2096552,526.2096552,526.2096552,526.2096552,131.5524138,526.2096552,526.2096552
NUCL,BajaCalif,2020,cap_par,MUSD/PJ,630.72,630.72,630.72,630.72,630.72,630.72,157.68,630.72,630.72
BIO,BajaCalifSouth,2020,cap_par,MUSD/PJ,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252,386.8849252,96.7212313,386.8849252
BIO_CCS,BajaCalifSouth,2020,cap_par,MUSD/PJ,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388,622.5434388,155.6358597,622.5434388
COAL,BajaCalifSouth,2020,cap_par,MUSD/PJ,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561,183.0579561,45.76448902,183.0579561
COAL_CCS,BajaCalifSouth,2020,cap_par,MUSD/PJ,366.115912,366.115912,366.115912,366.115912,366.115912,366.115912,366.115912,91.528978,366.115912
GAS_GT,BajaCalifSouth,2020,cap_par,MUSD/PJ,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064,70.45398064,17.61349516,70.45398064
GAS_CC,BajaCalifSouth,2020,cap_par,MUSD/PJ,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652,96.67784652,24.16946163,96.67784652
GAS_CC_CCS,BajaCalifSouth,2020,cap_par,MUSD/PJ,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468,159.5184468,39.87961169,159.5184468
OIL,BajaCalifSouth,2020,cap_par,MUSD/PJ,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516,176.1349516,44.0337379,176.1349516
GEOTH,BajaCalifSouth,2020,cap_par,MUSD/PJ,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112,1045.096112,261.2740281,1045.096112
HYD,BajaCalifSouth,2020,cap_par,MUSD/PJ,200.365467,200.365467,200.365467,200.365467,200.365467,200.365467,200.365467,50.09136676,200.365467
WIND_ON,BajaCalifSouth,2020,cap_par,MUSD/PJ,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405,204.3707405,51.09268512,204.3707405
WIND_OFF,BajaCalifSouth,2020,cap_par,MUSD/PJ,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004,528.7061004,132.1765251,528.7061004
PV_GND,BajaCalifSouth,2020,cap_par,MUSD/PJ,254.6175752,254.6175752,254.6175752,254.6175752,254.6175752,254.6175752,254.6175752,63.65439379,254.6175752
