ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
BIO,Central,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,Central,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,Central,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,Central,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,Central,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,1317.25872,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,Central,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,Central,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,Central,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,Central,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,Central,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1000,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,Central,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,Central,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,Central,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,Central,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,Central,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,Eastern,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,Eastern,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,Eastern,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,Eastern,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,Eastern,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,1784.62224,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,Eastern,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,Eastern,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,Eastern,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,Eastern,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,Eastern,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,2110.07376,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,Eastern,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,Eastern,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,Eastern,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,Eastern,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,Eastern,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,Western,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,Western,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,Western,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1056.456,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,Western,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,Western,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,2133.4104,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,Western,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,Western,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,Western,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,Western,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,Western,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1549.36368,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,Western,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,Western,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,Western,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,Western,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,Western,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,Northwest,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,Northwest,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,Northwest,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,Northwest,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,Northwest,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,1841.38704,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,Northwest,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,Northwest,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,Northwest,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,Northwest,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,Northwest,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1000,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,Northwest,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,Northwest,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,Northwest,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,Northwest,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,Northwest,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,North,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,North,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,North,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,North,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,North,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,1379.38464,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,North,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,North,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,North,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,North,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,North,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1000,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,North,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,North,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,North,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,North,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,North,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,Northeast,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,Northeast,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,Northeast,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,Northeast,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,Northeast,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,4528.25424,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,Northeast,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,Northeast,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,Northeast,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,Northeast,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,Northeast,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1000,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,Northeast,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,Northeast,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,Northeast,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,Northeast,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,Northeast,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,BajaCalif,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,BajaCalif,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,BajaCalif,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,BajaCalif,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,BajaCalif,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,1000,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,BajaCalif,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,BajaCalif,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,BajaCalif,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,BajaCalif,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,BajaCalif,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1000,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,BajaCalif,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,BajaCalif,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,BajaCalif,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,BajaCalif,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,BajaCalif,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,BajaCalifSouth,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,BajaCalifSouth,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,BajaCalifSouth,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,BajaCalifSouth,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,BajaCalifSouth,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,1000,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,BajaCalifSouth,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,BajaCalifSouth,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,BajaCalifSouth,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,BajaCalifSouth,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,BajaCalifSouth,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1000,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,BajaCalifSouth,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,BajaCalifSouth,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,BajaCalifSouth,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,BajaCalifSouth,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,BajaCalifSouth,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1
BIO,Peninsular,2020,fixed,96.7212313,1,1.45081847,1,0,1,1000,100,1000,25,0.5,0.00000189,35,0.1,energy,biomass,electricity,1
BIO_CCS,Peninsular,2020,fixed,155.6358597,1,2.334537896,1,0,1,1000,100,1000,25,0.5,0.00000189,34,0.1,energy,biomass,electricity,1
COAL,Peninsular,2020,fixed,45.76448902,1,0.91528978,1,0,1,1000,100,1000,25,0.7,0.00000189,35,0.1,energy,coal,electricity,1
COAL_CCS,Peninsular,2020,fixed,91.528978,1,2.9488249,1,0,1,1000,100,1000,25,0.7,0.00000189,34,0.1,energy,coal,electricity,1
GAS_GT,Peninsular,2020,fixed,17.61349516,1,0.704539807,1,0,1,1000,100,1000,25,0.9,0.00000189,38,0.1,energy,gas,electricity,1
GAS_CC,Peninsular,2020,fixed,24.16946163,1,0.604236541,1,0,1,1000,100,1000,25,0.9,0.00000189,50,0.1,energy,gas,electricity,1
GAS_CC_CCS,Peninsular,2020,fixed,39.87961169,1,0.996990292,1,0,1,1000,100,1000,25,0.9,0.00000189,45,0.1,energy,gas,electricity,1
OIL,Peninsular,2020,fixed,44.0337379,1,1.05680971,1,0,1,1000,100,1000,25,0.8,0.00000189,35,0.1,energy,hfo,electricity,1
GEOTH,Peninsular,2020,fixed,261.2740281,1,5.225480564,1,0,1,1000,100,1000,25,0.9,0.00000189,35,0.1,energy,geo,electricity,1
HYD,Peninsular,2020,fixed,50.09136676,1,1.001827335,1,0,1,1000,100,1000,25,0.9,0.00000189,90,0.1,energy,water,electricity,1
WIND_ON,Peninsular,2020,fixed,51.09268512,1,0.766390277,1,0,1,1000,100,1000,25,0.2,0.00000189,100,0.1,energy,wind,electricity,1
WIND_OFF,Peninsular,2020,fixed,132.1765251,1,3.965295754,1,0,1,1000,100,1000,25,0.25,0.00000189,100,0.1,energy,wind,electricity,1
PV_GND,Peninsular,2020,fixed,63.65439379,1,0.636543938,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
PV_RFT,Peninsular,2020,fixed,131.5524138,1,1.315524138,1,0,1,1000,100,1000,25,0.13,0.00000189,100,0.1,energy,solar,electricity,1
NUCL,Peninsular,2020,fixed,157.68,1,3.1536,1,0,1,1000,100,1000,25,0.9,0.00000189,100,0.1,energy,uranium,electricity,1